15.775888443 0 1 2
30.7956295013 0 1 6
152.02456665 0 3 27
6.4300775528 0 2 4
129.947647095 0 2 10
617.908569336 4 4 74
644.809692383 0 4 27
39.8035049438 2 2 27
267.258728027 0 6 29
518.168762207 1 2 34
94.1325836182 0 1 4
30.0072937012 0 1 5
880.425598145 6 9 681
426.305786133 0 3 22
61.4611701965 0 1 4
156.855514526 0 2 11
183.938446045 0 1 6
131.499633789 0 1 5
206.458358765 0 4 16
550.586730957 2 7 50
228.378952026 0 1 8
87.9366455078 0 1 3
128.575500488 1 3 46
190.380279541 0 1 6
22.8846359253 0 1 8
369.968688965 0 2 14
91.5894699097 1 1 25
79.2613067627 1 1 7
169.755706787 0 2 12
628.14666748 1 3 24
250.323806763 3 3 91
213.580657959 2 3 34
23.01329422 0 1 2
27.4750766754 1 1 5
141.384902954 0 4 118
15.1268663406 0 3 8
47.2705497742 0 1 8
188.193908691 1 1 24
164.820037842 0 2 8
63.6561813354 0 2 11
268.502502441 0 1 6
529.335083008 2 4 34
32.9770126343 1 2 12
31.0254058838 0 2 8
217.452575684 2 3 79
35.2210731506 0 3 13
157.982650757 0 1 13
50.1272850037 0 2 8
21.9666786194 0 1 3
524.606506348 1 2 52
96.8056411743 1 1 12
112.531768799 0 2 16
114.099433899 0 1 9
136.853912354 0 1 18
301.783905029 8 4 619
151.575592041 1 3 32
128.740585327 0 2 12
272.415252686 0 1 7
130.908813477 1 3 11
96.4181442261 0 2 7
0 1 0 6
41.1277770996 1 2 10
16.8523807526 0 1 4
405.761627197 1 1 17
1132.26062012 2 2 138
274.883361816 0 4 26
237.823059082 0 2 9
35.8166160583 0 2 7
17.4081859589 0 1 4
201.157058716 0 1 11
63.8098907471 1 4 174
22.0906505585 0 1 3
116.278594971 0 2 10
217.746185303 1 1 12
43.1188621521 0 2 5
67.0480651855 1 3 10
54.6653709412 0 2 6
549.197387695 1 3 37
345.156005859 0 1 15
30.0363845825 2 4 36
605.979187012 3 3 112
349.095001221 0 1 27
41.9388160706 0 1 3
200.961791992 0 1 7
4.58772945404 1 1 5
27.3054351807 3 4 25
220.715545654 0 1 12
281.807281494 1 1 8
310.186859131 0 1 15
14.236620903 2 3 34
86.0000305176 1 2 10
52.4168930054 0 1 9
4.6884355545 0 1 4
0 1 0 6
57.9931755066 0 1 3
238.384002686 0 2 12
83.5096435547 0 2 76
5.20922327042 0 1 12
275.325286865 2 2 23
68.3783340454 0 2 4
190.058898926 0 2 12
235.907714844 0 1 11
404.847747803 1 2 29
81.4873580933 0 1 3
417.290374756 3 3 54
116.565422058 5 5 77
75.7809295654 1 1 7
429.191070557 0 2 15
84.8999786377 0 1 5
213.34765625 0 2 18
75.1601333618 0 2 16
344.406463623 0 1 11
180.123382568 0 3 15
131.854248047 0 2 9
66.3262252808 0 2 11
0 1 0 6
28.6767044067 1 3 10
32.7862434387 0 4 17
75.2744750977 0 2 4
94.1420822144 0 3 9
304.149047852 0 1 22
314.631622314 0 2 17
311.944702148 0 5 42
42.6798286438 0 1 4
479.841552734 0 2 51
228.941482544 0 2 9
218.085830688 0 2 8
163.864776611 0 1 17
321.287841797 0 2 11
95.4168243408 0 2 12
151.829589844 0 3 18
0 1 0 18
91.0293273926 0 2 9
0 1 0 9
33.0514755249 1 3 10
27.01653862 0 1 7
50.1639480591 0 2 6
22.2063694 0 1 2
57.6773605347 4 3 33
0.980556249619 2 1 7
408.679595947 1 3 35
147.749938965 0 3 17
51.1471290588 0 1 3
5.49300193787 0 1 3
66.4493026733 0 2 9
68.5159301758 1 2 13
12.7092075348 0 1 5
910.165710449 1 1 66
391.547210693 1 3 39
45.0169639587 0 2 5
35.2599906921 0 1 5
421.512145996 0 2 34
99.4604492188 0 1 3
111.707496643 0 2 19
22.2949924469 0 1 7
561.555908203 1 2 29
12.2938489914 1 1 10
374.942901611 0 2 13
234.958953857 0 1 9
81.1468658447 0 2 11
126.559875488 0 1 10
199.925201416 0 1 5
46.5066680908 0 1 11
4.39022827148 0 1 11
320.348754883 1 2 10
27.8367290497 0 1 3
181.135467529 0 3 9
103.657241821 0 1 10
60.1312026978 0 2 9
358.791290283 0 1 18
237.693313599 0 2 7
110.337341309 1 3 27
353.486450195 0 2 18
269.601806641 3 1 18
514.794311523 1 2 41
53.7438659668 1 2 13
221.409973145 0 2 11
329.667694092 1 2 42
151.225326538 2 3 23
366.579650879 1 1 10
64.5614852905 0 1 5
158.044174194 2 5 33
41.1625976562 2 3 14
86.6302032471 1 1 36
249.932983398 1 1 16
22.664598465 0 2 6
239.34173584 1 2 11
63.6832962036 0 2 8
42.4069786072 0 1 8
288.6378479 0 2 28
51.8463401794 0 2 12
69.7473220825 0 1 5
243.456115723 2 3 22
7.54100370407 0 1 30
39.0448570251 2 1 22
169.200439453 0 3 9
390.389373779 2 2 44
223.002975464 4 2 309
226.522994995 0 4 53
33.6720123291 0 1 4
18.9264793396 0 2 6
57.9910354614 8 4 469
327.244903564 1 3 27
276.035705566 1 1 16
19.4239063263 0 1 10
137.136535645 0 2 8
91.2532424927 0 2 9
279.456237793 0 3 40
97.2685394287 2 2 93
241.294113159 0 1 9
109.736610413 0 2 18
163.780670166 0 1 7
56.6913795471 0 1 4
10.6214838028 1 1 6
789.900695801 0 2 32
46.4542388916 1 2 63
73.2860031128 0 1 6
71.8334503174 1 1 7
621.58782959 1 1 37
3.99307465553 0 1 3
310.77154541 0 1 12
14.7787618637 0 1 3
102.683441162 1 3 11
22.3587989807 0 2 6
125.58795166 0 2 13
694.105041504 3 4 335
8.10052680969 1 1 5
105.157173157 0 2 13
46.4552612305 0 1 8
41.5030021667 0 1 3
12.0888738632 0 1 3
9.04739379883 0 1 3
29.5717926025 1 1 5
107.426422119 0 2 20
329.495574951 0 3 21
262.399963379 0 2 6
209.940063477 2 4 52
279.485992432 1 1 35
458.07723999 2 4 65
207.073547363 0 1 8
41.0058937073 5 4 353
23.7484607697 2 1 11
169.746582031 2 2 16
239.446685791 0 1 4
148.474761963 1 5 27
131.906173706 0 1 9
157.453201294 0 7 20
27.3134078979 0 1 5
214.081604004 1 4 22
181.326171875 0 2 14
68.127166748 0 1 7
75.5365219116 2 3 34
400.429107666 1 5 33
45.0591773987 0 1 11
61.3127937317 0 2 6
311.0105896 0 2 20
170.006958008 1 2 12
31.364572525 0 2 7
369.970733643 1 4 26
0 1 0 0
108.255249023 0 3 14
108.055908203 0 2 15
211.958984375 0 2 12
342.506896973 0 2 9
0 1 0 6
16.4351654053 0 2 4
60.2033004761 0 1 6
249.790039062 0 4 41
94.9824981689 0 1 7
89.7551803589 0 3 19
534.487548828 4 6 95
109.683265686 0 1 6
154.338088989 0 1 10
168.532165527 0 2 3
15.0069332123 0 1 3
62.740234375 0 1 6
310.986541748 5 5 89
127.52721405 0 3 12
541.733093262 1 4 73
172.418914795 2 2 39
79.104598999 0 3 11
348.553344727 1 1 19
29.376127243 0 1 4
26.8779067993 2 2 21
17.9169788361 0 2 5
93.3124694824 0 2 10
37.2092514038 0 2 6
297.608764648 0 3 18
41.7316627502 0 1 3
35.9439086914 0 1 6
124.755210876 0 2 14
54.3263168335 0 3 11
74.327911377 0 1 11
206.292892456 1 6 231
203.903640747 0 4 11
62.3761405945 0 2 6
102.869735718 0 2 13
771.379211426 0 1 22
64.0824432373 0 2 6
183.575271606 0 1 10
195.751419067 4 4 110
30.3291969299 1 1 7
218.854553223 0 2 20
94.2319946289 0 2 13
360.179779053 2 7 78
187.461837769 1 2 15
92.3383560181 1 2 14
239.891189575 1 2 11
499.614654541 3 2 91
58.488319397 1 5 192
112.817054749 0 1 4
87.2320404053 0 1 8
310.188842773 2 3 69
201.40222168 1 2 13
249.25881958 0 1 27
271.59085083 0 2 14
332.916381836 0 2 15
48.9925918579 0 2 8
221.158432007 0 2 13
266.138366699 2 2 42
57.8203849792 0 2 4
7.02781629562 0 1 8
81.9702987671 0 1 3
151.225753784 0 1 4
